games_id,na_sales_in_millions,pal_sales_in_millions,jp_sales_in_millions,other_sales_in_millions,global_sales_in_millions,total_shipped_in_millions
225,,,,,,
226,,,,,,
227,0.26,0.2,,0.07,0.54,
228,,,,,,
229,,,,,,
230,,,,,,
231,0.16,0.13,0.29,0.04,0.62,
232,0.2,0.16,,0.05,0.41,
233,0.11,0.09,,0.03,0.23,
234,,,,,,
235,,,,,,
236,,,,,,
237,0.07,0.05,,0.02,0.14,
238,,,0.07,,0.07,
239,,,0.02,,0.02,
240,,,0.01,,0.01,
241,,,,,,
242,2.53,0.81,0.06,0.24,3.65,
243,2.22,0.51,0.06,0.15,2.94,
244,1.74,0.02,,0.28,2.04,
245,1.22,0.34,0.04,0.1,1.69,
246,,,0.04,,0.04,
247,,,0.16,,0.16,
248,0.79,0.03,,0.13,0.94,
249,0.88,0.69,,0.23,1.81,
250,1.03,0.14,,0.04,1.21,
251,0.69,0.03,,0.11,0.83,
252,0.78,0.03,0.2,0.13,1.14,
253,0.23,0.18,,0.06,0.47,
254,,,0.41,,0.41,
255,0.15,0.12,,0.04,0.3,
256,0.16,0.13,,0.04,0.33,
257,,1.18,,0.43,1.61,
258,,1.1,,0.39,1.49,
259,0.32,0.06,,0.5,0.88,
260,0.17,0.0,,0.61,0.78,
261,,0.02,,0.19,0.2,
262,,,,,,
263,,,,,,
264,,,,,,
265,,,0.06,,0.06,
266,,,0.05,,0.05,
267,0.09,0.07,,0.02,0.19,
268,0.09,0.07,,0.02,0.18,
269,0.36,0.01,,0.06,0.43,
270,0.08,0.07,,0.02,0.17,
271,0.07,0.05,,0.02,0.14,
272,,0.05,,0.6,0.65,
273,0.18,0.14,,0.05,0.36,
274,,,,,,
275,,,,,,
276,,,,,,
277,0.11,0.09,,0.03,0.23,
278,0.14,0.11,0.08,0.04,0.36,
279,,,,,,14.89
280,,,,,,11.76
281,,,,,,1.4
282,0.28,0.22,0.11,0.07,0.68,
283,,,,,,
284,,,,,,
285,,,,,,
286,,,,,,
287,,,,,,
288,,,,,,
289,,0.15,,0.33,0.49,
290,0.13,0.1,,0.03,0.26,
291,,,0.04,,0.04,
292,,,,,,
293,0.37,0.29,,0.1,0.76,
294,0.14,0.11,,0.04,0.28,
295,0.03,0.02,,0.01,0.06,
296,0.99,0.32,1.38,0.2,2.89,
297,0.27,0.11,1.34,,1.72,
298,0.46,0.36,,0.12,0.94,
299,0.17,0.13,0.55,0.05,0.9,
300,0.19,0.15,,0.05,0.38,
301,0.44,0.35,,0.12,0.9,
302,0.32,0.25,,0.08,0.66,
303,0.2,0.16,,0.05,0.41,
304,0.2,0.15,,0.05,0.4,
305,0.33,0.01,,0.05,0.4,
306,0.18,0.14,,0.05,0.36,
307,0.15,0.12,,0.04,0.31,
308,0.13,0.1,,0.03,0.26,
309,0.11,0.09,,0.03,0.23,
310,0.11,0.09,,0.03,0.23,
311,0.11,0.09,,0.03,0.23,
312,0.11,0.09,,0.03,0.23,
313,0.1,0.08,,0.03,0.2,
314,0.1,0.07,,0.02,0.2,
315,0.09,0.07,,0.02,0.19,
316,0.09,0.07,,0.02,0.19,
317,0.07,0.06,,0.02,0.15,
318,0.07,0.06,,0.02,0.15,
319,0.78,0.03,,0.13,0.94,
320,0.35,0.01,,0.06,0.42,
321,0.2,0.16,,0.05,0.41,
322,0.06,0.05,,0.02,0.13,
323,,,,,,
324,,,,,,9.3
325,3.28,2.22,0.21,1.02,6.74,
326,2.32,1.73,0.12,0.8,4.97,
327,,,,,,
328,,,,,,
329,0.6,0.18,,0.15,0.93,
330,,,,,,
331,,,,,,
332,,,,,,7.6
333,,,,,,3.0
334,0.74,,,0.15,0.89,
335,,0.07,0.03,0.02,0.12,
336,,,,,,2.42
337,0.67,0.36,0.13,0.18,1.34,
338,,,0.06,,0.06,
339,,,0.04,,0.04,
340,,,,,,0.71
341,,,,,,2.0
342,1.05,0.48,0.08,0.26,1.87,
343,,,,,,1.5
344,0.19,0.01,,0.05,0.25,
345,0.93,1.1,0.08,0.45,2.57,
346,1.05,0.55,0.03,0.26,1.89,
347,0.75,0.22,0.05,0.13,1.15,
348,0.0,0.52,,0.03,0.55,
349,,0.0,,0.0,0.0,
350,1.74,1.72,0.14,0.76,4.37,
351,1.15,0.84,0.1,0.38,2.47,
352,0.64,0.57,0.05,0.22,1.49,
353,,0.01,,0.0,0.01,
354,,,,,,
355,,,,,,
356,,,,,,
357,,,,,,
358,,,,,,
359,,,,,,
360,0.67,0.07,,0.09,0.83,
361,0.32,,,0.03,0.34,
362,0.18,0.38,0.06,0.14,0.75,
363,0.2,0.04,0.05,0.03,0.32,
364,0.45,0.56,,0.12,1.13,
365,0.27,0.51,,0.16,0.93,
366,0.29,0.39,,0.12,0.81,
367,0.16,0.4,,0.11,0.66,
368,0.09,0.32,,0.11,0.52,
369,0.11,0.25,,0.07,0.44,
370,,0.34,,0.09,0.43,
371,,0.28,,0.03,0.31,
372,,0.19,,0.03,0.21,
373,,0.16,,0.04,0.2,
374,,0.16,,0.02,0.17,
375,,0.1,,0.02,0.12,
376,0.11,,,0.01,0.12,
377,,0.08,,0.02,0.09,
378,,0.07,,0.02,0.08,
379,,0.07,,0.01,0.08,
380,,0.04,,0.01,0.05,
381,,0.02,,0.01,0.03,
382,,0.02,,0.01,0.03,
383,,,,,,
